yyyy_mm,avg_price,avg_rent,isic_ur,month_cases,airport_passengers
202001,3741,46.59%,5.10%,8,5021755
202002,3188,31.50%,3.71%,17,2396741
202003,2885,19.22%,3.93%,27,637606
202004,3012,16.22%,7.29%,3,42547
202005,2802,24.17%,7.78%,0,48224
202006,3049,42.03%,6.67%,0,59175
202007,3367,55.36%,5.91%,0,96791
202008,3614,58.93%,4.85%,0,115553
202009,3092,53.47%,4.37%,0,106873
202010,3385,56.98%,6.53%,0,101924
202011,3164,47.24%,6.30%,0,106466
202012,3315,45.38%,5.90%,0,97672
202101,3453,38.27%,3.69%,19,111799
202102,4226,44.50%,4.64%,2,67630
202103,3251,42.78%,5.30%,0,90305
202104,3483,50.78%,5.36%,26,93730
202105,3244,23.07%,6.82%,8789,78887
202106,3173,7.73%,10.06%,4831,76621
202107,3545,10.47%,8.56%,669,81987
202108,3772,28.09%,6.76%,149,88107
202109,3641,32.25%,5.87%,41,79130
202110,3670,41.36%,6.19%,9,77494
202111,3413,49.84%,5.59%,1,75914
202112,3655,51.70%,4.68%,18,102002
